"","ZIP","CITY","STATE","MEMBER","LAT","LON"
"1",10001,"New York","NY",229371,40.75,-73.9899978637695
"2",60601,"Chicago","IL",90918,41.8800010681152,-87.620002746582
"3",92101,"San Diego","CA",75010,32.7200012207031,-117.169998168945
"4",20001,"Washington","DC",66987,38.9099998474121,-77.0199966430664
"5",90001,"Los Angeles","CA",63421,33.9700012207031,-118.23999786377
"6",77001,"Houston","TX",61242,29.7199993133545,-95.2200012207031
"7",30301,"Atlanta","GA",60998,33.8600006103516,-84.4000015258789
"8",94101,"San Francisco","CA",60351,37.7799987792969,-122.419998168945
"9",98101,"Seattle","WA",58965,47.6100006103516,-122.330001831055
"10",73301,"Austin","TX",57163,30.2199993133545,-97.75
"11",19019,"Philadelphia","PA",53397,40.1199989318848,-75.0100021362305
"12",80201,"Denver","CO",48435,39.7000007629395,-105.080001831055
"13",75201,"Dallas","TX",45269,32.7900009155273,-96.8000030517578
"14",97201,"Portland","OR",42101,45.5,-122.690002441406
"15",2108,"Boston","MA",41166,42.3600006103516,-71.0699996948242
"16",27601,"Raleigh","NC",41033,35.7700004577637,-78.6399993896484
"17",11201,"Brooklyn","NY",40247,40.7000007629395,-73.9899978637695
"18",32801,"Orlando","FL",37389,28.5400009155273,-81.370002746582
"19",85001,"Phoenix","AZ",36727,33.4500007629395,-112.069999694824
"20",89101,"Las Vegas","NV",36677,36.1699981689453,-115.120002746582
"21",55401,"Minneapolis","MN",35437,44.9799995422363,-93.2699966430664
"22",28201,"Charlotte","NC",34727,35.189998626709,-80.8300018310547
"23",94203,"Sacramento","CA",31752,38.5800018310547,-121.48999786377
"24",78201,"San Antonio","TX",28554,29.4699993133545,-98.5299987792969
"25",33601,"Tampa","FL",28225,27.9799995422363,-82.3399963378906
"26",33301,"Fort Lauderdale","FL",24456,26.1200008392334,-80.129997253418
"27",95101,"San Jose","CA",24314,37.3899993896484,-121.900001525879
"28",63101,"Saint Louis","MO",23763,38.6300010681152,-90.1900024414062
"29",33101,"Miami","FL",21729,25.7800006866455,-80.1999969482422
"30",15201,"Pittsburgh","PA",20814,40.4700012207031,-79.9499969482422
"31",21201,"Baltimore","MD",20398,39.2900009155273,-76.620002746582
"32",32099,"Jacksonville","FL",19975,30.3299999237061,-81.7699966430664
"33",23218,"Richmond","VA",19397,37.5400009155273,-77.4400024414062
"34",85701,"Tucson","AZ",19292,32.2200012207031,-110.970001220703
"35",43085,"Columbus","OH",18652,40.0999984741211,-83.0199966430664
"36",37201,"Nashville","TN",18641,36.1699981689453,-86.7799987792969
"37",45201,"Cincinnati","OH",17224,39.1100006103516,-84.5
"38",46201,"Indianapolis","IN",16269,39.7700004577637,-86.1100006103516
"39",64101,"Kansas City","MO",15902,39.0999984741211,-94.5999984741211
"40",22201,"Arlington","VA",14674,38.8899993896484,-77.0999984741211
"41",90401,"Santa Monica","CA",14084,34.0200004577637,-118.5
"42",76101,"Fort Worth","TX",13901,32.7599983215332,-97.3300018310547
"43",55101,"Saint Paul","MN",13770,44.9700012207031,-93.0800018310547
"44",44101,"Cleveland","OH",13715,41.4900016784668,-81.6699981689453
"45",92602,"Irvine","CA",13650,33.7400016784668,-117.75
"46",94601,"Oakland","CA",13524,37.7799987792969,-122.220001220703
"47",53201,"Milwaukee","WI",13438,43.0400009155273,-87.9199981689453
"48",80901,"Colorado Springs","CO",13036,38.8300018310547,-104.819999694824
"49",14602,"Rochester","NY",12925,43.1699981689453,-77.5999984741211
"50",22030,"Fairfax","VA",12925,38.8300018310547,-77.3399963378906
"51",87101,"Albuquerque","NM",12585,35.2000007629395,-106.639999389648
"52",90801,"Long Beach","CA",12544,33.7700004577637,-118.190002441406
"53",23450,"Virginia Beach","VA",12427,36.8400001525879,-76.0899963378906
"54",85250,"Scottsdale","AZ",12075,33.5200004577637,-111.910003662109
"55",22301,"Alexandria","VA",11776,38.8199996948242,-77.0599975585938
"56",84101,"Salt Lake City","UT",11741,40.7599983215332,-111.900001525879
"57",80301,"Boulder","CO",11728,40.0499992370605,-105.209999084473
"58",92801,"Anaheim","CA",11522,33.8400001525879,-117.949996948242
"59",48201,"Detroit","MI",10592,42.3499984741211,-83.0599975585938
"60",40201,"Louisville","KY",10551,38.25,-85.7799987792969
"61",30006,"Marietta","GA",10286,33.9500007629395,-84.5400009155273
"62",75023,"Plano","TX",10009,33.060001373291,-96.7399978637695
"63",33401,"West Palm Beach","FL",9947,26.7099990844727,-80.0599975585938
"64",70112,"New Orleans","LA",9499,29.9599990844727,-90.0800018310547
"65",33701,"Saint Petersburg","FL",9496,27.7700004577637,-82.6399993896484
"66",2138,"Cambridge","MA",9363,42.3800010681152,-71.129997253418
"67",14201,"Buffalo","NY",9333,42.9000015258789,-78.879997253418
"68",12201,"Albany","NY",9197,42.6500015258789,-73.75
"69",53701,"Madison","WI",8951,43.0699996948242,-89.379997253418
"70",27395,"Greensboro","NC",8882,36.0400009155273,-79.8600006103516
"71",37901,"Knoxville","TN",8834,36.0299987792969,-83.8899993896484
"72",80120,"Littleton","CO",8729,39.5999984741211,-105.01000213623
"73",98004,"Bellevue","WA",8686,47.6199989318848,-122.209999084473
"74",27511,"Cary","NC",8618,35.7599983215332,-78.7799987792969
"75",73101,"Oklahoma City","OK",8283,35.4900016784668,-97.5599975585938
"76",48103,"Ann Arbor","MI",8235,42.2700004577637,-83.8099975585938
"77",23501,"Norfolk","VA",8077,36.9000015258789,-76.2099990844727
"78",20847,"Rockville","MD",8071,39.0800018310547,-77.1500015258789
"79",10451,"Bronx","NY",8067,40.8199996948242,-73.9199981689453
"80",27701,"Durham","NC",8061,36,-78.9000015258789
"81",85201,"Mesa","AZ",8059,33.4300003051758,-111.839996337891
"82",76001,"Arlington","TX",8058,32.6199989318848,-97.1500015258789
"83",92501,"Riverside","CA",7926,33.9900016784668,-117.370002746582
"84",98401,"Tacoma","WA",7906,47.2599983215332,-122.440002441406
"85",80521,"Fort Collins","CO",7847,40.5800018310547,-105.110000610352
"86",74101,"Tulsa","OK",7757,36.0699996948242,-95.9000015258789
"87",68101,"Omaha","NE",7520,41.2599983215332,-95.9300003051758
"88",91101,"Pasadena","CA",7181,34.1500015258789,-118.139999389648
"89",34230,"Sarasota","FL",7117,27.3500003814697,-82.4899978637695
"90",2901,"Providence","RI",7100,41.8300018310547,-71.4100036621094
"91",29601,"Greenville","SC",7034,34.8499984741211,-82.4000015258789
"92",37501,"Memphis","TN",6946,35.0699996948242,-89.9599990844727
"93",6901,"Stamford","CT",6879,41.0499992370605,-73.5400009155273
"94",85233,"Gilbert","AZ",6768,33.3600006103516,-111.800003051758
"95",10601,"White Plains","NY",6633,41.0299987792969,-73.7600021362305
"96",33019,"Hollywood","FL",6553,26.0200004577637,-80.120002746582
"97",60159,"Schaumburg","IL",6507,42.0400009155273,-88.0800018310547
